Year, beerIndex ,BeerInflation,domestic6pack,import6pack,allbeer6pack
1985, 106.7 ,0.0%, 3.97 , 5.51 , 4.18
1986, 108.7 ,1.9%, 4.04 , 5.62 , 4.26
1987, 110.9 ,2.0%, 4.12 , 5.73 , 4.35
1988, 114.4 ,3.2%, 4.26 , 5.92 , 4.49
1989, 118.2 ,3.3%, 4.41 , 6.12 , 4.64
1990, 123.6 ,4.6%, 4.62 , 6.42 , 4.86
1991, 138.4 ,12.0%, 5.24 , 7.29 , 5.53
1992, 143.5 ,3.7%, 5.44 , 7.57 , 5.74
1993, 143.2 ,-0.2%, 5.43 , 7.55 , 5.72
1994, 143.4 ,0.1%, 5.44 , 7.56 , 5.73
1995, 143.9 ,0.3%, 5.46 , 7.59 , 5.75
1996, 147.4 ,2.4%, 5.60 , 7.78 , 5.90
1997, 148.2 ,0.5%, 5.63 , 7.82 , 5.93
1998, 148.5 ,0.2%, 5.64 , 7.84 , 5.94
1999, 151.9 ,2.3%, 5.77 , 8.02 , 6.08
2000, 156.8 ,3.2%, 5.96 , 8.29 , 6.28
2001, 160.7 ,2.5%, 6.11 , 8.50 , 6.44
2002, 164.7 ,2.5%, 6.27 , 8.72 , 6.61
2003, 168.5 ,2.3%, 6.42 , 8.92 , 6.76
2004, 174.6 ,3.6%, 6.66 , 9.26 , 7.02
2005, 51.0 ,-70.8%, 3.90 , 5.42 , 4.11
2006, 51.5 ,1.0%, 3.94 , 5.47 , 4.15
2007, 52.3 ,1.6%, 4.00 , 5.56 , 4.21
2008, 57.3 ,9.6%, 4.42 , 6.15 , 4.66
2009, 63.4 ,10.6%, 4.95 , 6.88 , 4.66
2010, 65.0 ,0.0%, 4.95 , 6.88 , 4.66
2011, 66.0 ,0.0%, 4.95 , 6.88 , 5.05
